filename, language, SCSS, JavaScript, JSON, comment, blank, total
f:\Documents\GitHub\admin_hamsafar\src\App\App.js, JavaScript, 0, 223, 0, 12, 32, 267
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\About\index.js, JavaScript, 0, 10, 0, 0, 3, 13
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Nav\nav.js, JavaScript, 0, 63, 0, 1, 6, 70
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Nav\nav.scss, SCSS, 67, 0, 0, 2, 6, 75
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Account\account.js, JavaScript, 0, 11, 0, 0, 2, 13
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Analytics\analytics.js, JavaScript, 0, 11, 0, 0, 2, 13
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Charts\charts.js, JavaScript, 0, 31, 0, 1, 5, 37
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Charts\charts.scss, SCSS, 14, 0, 0, 0, 1, 15
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Charts\graphs\table.js, JavaScript, 0, 27, 0, 0, 3, 30
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\data.json, JSON, 0, 0, 309, 0, 0, 309
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\graphs\bar.js, JavaScript, 0, 99, 0, 0, 2, 101
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\graphs\line.js, JavaScript, 0, 38, 0, 0, 2, 40
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\graphs\pie.js, JavaScript, 0, 0, 0, 0, 1, 1
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\graphs\radar.js, JavaScript, 0, 74, 0, 0, 4, 78
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\home.js, JavaScript, 0, 145, 0, 1, 10, 156
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Home\home.scss, SCSS, 148, 0, 0, 5, 23, 176
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Mailbox\mailbox.js, JavaScript, 0, 11, 0, 0, 2, 13
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Manage\manage.js, JavaScript, 0, 12, 0, 0, 3, 15
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Manage\manage.scss, SCSS, 0, 0, 0, 0, 1, 1
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Settings\settings.js, JavaScript, 0, 64, 0, 0, 5, 69
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\Settings\settings.scss, SCSS, 24, 0, 0, 0, 5, 29
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\pages.js, JavaScript, 0, 53, 0, 1, 10, 64
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pages\pages.scss, SCSS, 33, 0, 0, 0, 3, 36
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pane\pane.js, JavaScript, 0, 33, 0, 0, 7, 40
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\Pane\pane.scss, SCSS, 35, 0, 0, 1, 7, 43
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\dashboard.js, JavaScript, 0, 27, 0, 0, 5, 32
f:\Documents\GitHub\admin_hamsafar\src\App\Routes\Dashboard\dashboard.scss, SCSS, 16, 0, 0, 2, 2, 20
